platform,video_id,url,title_caption,hashtags,views,likes,comments,engagement_score,creator,download_path,scraped_at
tiktok,7454179852954897672,https://www.tiktok.com/@aram_kim/video/7454179852954897672?_r=1&_t=ZS-97NOBk7VdnY,تتمة الفيديو في يوتيوب:ahlam Kim❤️ #CapCut #morocco #algeria #tunisia...,,7200000,449200,5282,454482,aram_kim,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7454179852954897672.mp4,2026-06-21 19:38:32.008331
tiktok,7365225808350154017,https://www.tiktok.com/@darija.ma/video/7365225808350154017?q=%23darijamaroc&t=1781979231063,-37 days #morocco #morocco🇲🇦 #darijama #maroc #darijamarocaine #moroc...,,6900000,442300,3366,445666,darija.ma,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7365225808350154017.mp4,2026-06-21 19:38:22.789093
tiktok,7074668780613291270,https://www.tiktok.com/@marocchinovero/video/7074668780613291270?_r=1&_t=ZS-97NOVHSi7Wu,Rispondi a @faelmllali  Instagram marocchino vero #marocchinovero #ma...,,17000000,403100,4801,407901,marocchinovero,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7074668780613291270.mp4,2026-06-21 19:38:39.192322
tiktok,7651264791830433042,https://www.tiktok.com/@manal/video/7651264791830433042?_r=1&_t=ZS-97NODRacNS0,GRWM for a moroccan party ⚡️PART 2,,1800000,179900,777,180677,manal,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7651264791830433042.mp4,2026-06-21 19:38:31.456905
tiktok,7652411622413126932,https://www.tiktok.com/@hdit.w.kora/video/7652411622413126932?_r=1&_t=ZS-97NOEuq55MK,Morocco 🇲🇦 1-1 🇧🇷 Brasil World Cup 2026  #worldcup #morocco #football ,,1200000,98200,318,98518,hdit.w.kora,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7652411622413126932.mp4,2026-06-21 19:38:32.566966
tiktok,7626464570994969876,https://www.tiktok.com/@habbaz.officiel/video/7626464570994969876?q=%23darijamaroc&t=1781979231063,C’est moi ouuuuu ?! #humour #hagra #fyp #Maroc #darija,,1800000,71000,964,71964,habbaz.officiel,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7626464570994969876.mp4,2026-06-21 19:38:20.505635
tiktok,7651672711348931847,https://www.tiktok.com/@naimahadji.nb/video/7651672711348931847?_r=1&_t=ZS-97NOPZCBwai,Proud morrocan girl ♥️ #worldcup2026 ,,730500,57700,1026,58726,naimahadji.nb,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7651672711348931847.mp4,2026-06-21 19:38:36.221491
tiktok,7653492995802647841,https://www.tiktok.com/@manal_v2v/video/7653492995802647841?_r=1&_t=ZS-97NOGNi0Fvg,Une chose est sûre : l’ambiance est là 🇲🇦🔥#queenhouse ,,373500,36700,242,36942,manal_v2v,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653492995802647841.mp4,2026-06-21 19:38:33.180759
tiktok,7425952092335934753,https://www.tiktok.com/@ranja.ms/video/7425952092335934753?q=%23maghreb&t=1781979363763,Weeding season🇲🇦  #marocan🇲🇦 #marocaine #maroc🇲🇦 #marocco #maghreb #w...,,1000000,30400,164,30564,ranja.ms,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7425952092335934753.mp4,2026-06-21 19:38:26.196433
tiktok,7588875335698091285,https://www.tiktok.com/@ankur.morocco/video/7588875335698091285?_r=1&_t=ZS-97NOS9XFiey,تمرين صباحي هنا في المغرب الجميل 🇲🇦 🇮🇳 | Morning workout here in beau...,,1200000,22000,527,22527,ankur.morocco,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7588875335698091285.mp4,2026-06-21 19:38:38.586490
